號碼1, 號碼2, 號碼3, 號碼4, 號碼5 
18,24,26,35,37
4,6,11,17,34
2,3,16,22,32
1,11,20,28,36
10,12,29,32,36
7,13,22,23,30
9,13,26,34,36
10,13,24,36,37
3,7,14,26,38
9,11,19,36,39
6,9,17,24,38
16,20,21,30,31
6,8,16,19,23
3,10,23,26,37
1,3,16,17,39
5,9,16,21,35
3,10,11,13,19
1,6,7,21,23
15,17,19,28,29
23,26,34,35,36
13,16,23,37,39
12,20,23,31,37
1,2,17,18,35
14,16,20,30,37
16,20,21,22,26
5,13,23,26,27
6,12,17,28,36
4,24,25,34,37
1,5,12,18,30
1,5,12,15,26
20,23,26,27,38
3,7,14,20,34
1,2,20,23,26
3,12,14,18,34
16,18,23,32,38
1,8,9,17,22
3,13,20,27,28
5,18,21,22,27
6,7,19,20,26
10,19,22,24,26
1,17,20,27,30
1,14,19,27,28
9,19,35,37,38
5,8,10,23,30
4,16,21,32,33
1,7,26,29,34
6,14,19,24,37
9,10,14,22,38
1,8,9,18,27
21,25,27,32,39
13,32,34,36,38
5,10,23,25,39
5,10,15,16,21
7,10,16,19,24
4,6,31,36,37
5,10,11,12,26
13,17,18,24,28
1,4,11,23,32
1,5,19,22,26
4,9,13,27,28
7,25,33,35,37
21,31,32,35,36
7,11,13,25,39
3,8,14,18,32
1,7,10,23,29
11,21,30,32,38
4,10,17,27,36
11,18,22,28,35
1,11,17,29,34
10,14,19,20,35
3,8,13,23,26
8,12,22,33,35
7,9,11,22,32
1,5,10,30,31
10,12,15,32,35
10,14,15,36,38
10,12,23,34,38
2,9,20,25,35
24,28,31,33,36
6,8,12,23,25
1,17,25,36,38
10,12,17,29,35
1,10,24,35,38
2,7,9,29,35
6,16,20,25,34
2,4,18,20,34
17,22,34,37,39
6,11,13,22,23
3,8,12,20,33
6,7,17,25,37
2,7,21,22,28
7,8,23,25,31
1,4,9,29,39
16,20,23,24,35
4,19,29,37,39
5,7,8,25,26
2,8,16,22,28
5,6,10,11,13
1,5,16,17,21
12,22,24,31,35
7,12,16,22,23
8,10,23,32,35
7,17,21,32,35
12,13,19,20,31
4,13,15,29,32
20,21,23,36,39
8,19,27,29,39
3,7,13,21,22
6,7,8,17,33
19,23,26,31,34
14,15,17,28,37
11,15,17,31,36
8,14,17,21,30
13,16,17,25,37
10,28,29,31,36
2,7,28,31,39
3,15,27,33,36
9,12,18,27,37
5,8,17,27,36
13,30,31,35,37
4,9,33,34,38
6,14,22,23,31
12,14,23,24,36
3,14,25,33,37
6,7,30,32,36
21,24,26,29,32
23,24,32,35,38
1,11,19,27,38
18,23,31,32,35
4,6,30,32,35
4,19,29,33,37
1,11,14,29,36
6,12,13,15,39
1,3,10,17,24
6,12,15,20,39
3,8,19,22,38
3,5,7,11,16
1,13,14,22,33
3,18,22,27,33
3,4,13,17,25
17,25,27,33,35
14,17,27,32,36
7,17,18,21,27
8,28,31,36,39
11,13,20,29,33
1,12,33,36,39
4,10,12,36,37
3,11,31,32,39
6,12,14,28,35
5,29,31,35,36
4,12,17,20,23
17,26,31,32,35
6,17,29,33,39
6,9,15,17,24
4,6,26,28,39
19,20,28,31,38
2,5,7,26,32
8,20,23,27,29
1,20,24,32,35
10,11,19,21,39
1,11,17,25,29
22,23,27,35,37
12,13,15,30,37
9,26,28,35,38
4,7,17,29,37
10,15,18,24,25
1,12,14,18,26
7,15,23,25,31
2,7,17,18,26
2,16,21,31,37
6,7,8,9,30
9,14,22,36,38
9,16,24,32,38
1,9,16,32,38
10,17,18,20,28
1,8,12,17,31
1,5,8,16,38
3,5,27,30,35
6,12,17,18,24
13,20,21,23,25
6,9,17,27,30
4,5,17,33,35
4,24,25,28,33
5,9,24,25,36
10,20,32,34,39
4,6,25,27,29
4,7,11,18,19
2,4,8,11,22
9,12,18,22,38
8,22,23,29,31
17,20,28,30,38
1,3,7,19,30
5,25,27,35,37
3,8,18,30,37
7,10,16,24,34
3,17,19,35,37
10,11,15,16,36
8,12,19,26,38
1,5,10,31,38
18,24,29,31,33
6,11,24,29,37
8,17,20,24,27
14,15,26,31,34
3,11,32,36,39
3,18,23,32,33
2,5,12,32,37
2,14,24,36,39
4,15,28,29,35
7,12,18,19,39
4,20,27,29,35
2,8,28,37,38
8,15,27,33,35
4,9,22,26,39
1,7,15,17,38
4,7,12,28,37
4,12,20,23,27
3,8,17,25,39
4,6,12,14,25
3,6,9,32,39
2,6,17,19,38
1,3,6,19,32
7,12,16,19,33
1,17,23,30,34
1,5,12,22,34
10,11,31,35,39
10,18,29,31,34
15,18,19,20,35
5,12,22,32,36
2,3,30,33,34
4,15,16,23,30
1,14,28,29,30
3,9,28,32,35
2,3,11,19,38
6,7,19,23,35
1,10,19,28,37
9,15,19,20,25
22,26,30,31,37
5,24,25,30,39
4,8,13,18,22
15,16,26,28,38
21,23,27,36,37
6,13,20,30,36
6,18,24,26,30
2,16,22,24,29
1,5,11,17,31
4,5,11,16,33
1,29,35,38,39
11,12,25,28,30
2,8,9,18,28
10,11,20,22,34
11,21,24,31,32
1,4,11,34,36
6,21,25,29,36
4,13,22,24,34
2,14,27,31,36
6,10,32,34,39
13,20,23,30,33
14,18,20,23,39
3,9,21,33,35
17,26,27,33,34
7,12,18,25,33
2,19,22,35,38
1,12,21,25,32
5,15,21,32,34
9,11,14,28,30
2,13,24,25,32
6,13,15,18,26
13,23,25,27,34
5,9,17,24,26
13,15,17,18,35
2,19,25,32,34
1,2,8,26,37
2,20,25,32,35
1,4,7,20,32
4,12,17,22,24
3,15,22,32,38
21,24,25,26,36
8,11,23,32,36
3,5,19,20,30
23,27,28,35,36
4,10,17,24,26
10,14,16,20,24
8,19,20,24,34
14,15,16,25,28
3,5,7,15,17
1,5,6,7,24
1,7,17,29,36
2,17,20,23,39
2,15,24,26,31
13,14,32,34,36
15,16,21,27,29
5,9,23,30,38
9,13,25,28,29
8,10,11,18,28
3,5,21,27,30
3,13,16,31,33
3,19,34,35,36
11,13,33,34,35
1,6,10,19,25
4,13,20,28,35
12,18,23,25,36
14,15,21,26,33
5,9,18,28,33
21,23,32,34,38
3,5,13,16,29
6,7,16,18,25
8,15,19,29,39
7,10,20,31,37
4,7,10,13,31
14,23,34,35,36
2,3,18,23,30
8,10,18,20,27
5,11,17,27,39
4,6,7,23,36
3,7,9,36,38
2,5,11,27,30
6,15,18,27,38
1,16,22,35,39
12,13,25,26,39
2,4,18,30,39
3,9,10,14,37
2,11,17,20,36
3,7,13,16,28
1,5,26,28,39
4,6,8,9,17
14,21,27,32,33
1,22,24,33,36
1,16,19,26,38
9,15,17,26,38
3,31,33,35,38
13,17,18,35,39
6,27,29,32,38
5,11,24,30,38
8,19,20,24,37
12,22,29,30,36
3,9,24,34,35
1,16,20,30,31
8,12,18,23,38
5,16,17,33,38
17,20,22,38,39
14,15,19,22,25
9,12,25,35,39
6,15,19,23,39
1,2,12,19,34
10,20,31,34,38
8,11,19,23,34
2,11,17,18,38
12,14,35,37,38
14,29,35,38,39
4,7,11,21,22
9,14,21,28,34
5,9,15,29,33
5,16,22,23,30
4,7,15,32,37
3,8,15,17,26
23,27,31,34,35
1,6,15,22,36
8,13,23,25,37
2,11,16,28,38
10,11,28,30,33
5,17,22,35,39
13,17,24,34,35
7,17,18,34,37
10,15,17,28,32
6,15,16,21,23
5,11,16,24,27
3,13,14,16,26
10,12,18,30,34
10,11,24,32,38
9,10,11,25,35
1,5,21,24,28
12,14,19,33,34
4,6,11,20,29
7,10,14,17,20
10,16,17,19,23
2,4,7,30,38
10,18,19,33,35
18,19,26,34,37
3,14,23,29,30
2,10,25,26,35
3,6,7,21,24
9,27,29,34,35
12,13,20,27,30
1,12,13,19,31
8,12,13,14,18
3,12,22,33,39
6,17,21,25,29
3,16,26,27,36
1,21,28,29,34
5,8,12,17,19
5,7,17,25,37
3,13,23,26,32
4,17,29,32,37
7,9,31,37,39
2,3,9,29,33
3,7,25,36,37
2,5,20,21,23
2,20,26,27,37
9,20,29,36,39
19,23,32,34,36
15,18,20,22,23
11,13,17,18,29
7,15,19,25,27
6,7,13,20,30
11,18,20,35,38
10,24,25,29,32
2,6,26,29,37
1,5,15,19,36
3,7,11,20,27
10,23,26,33,39
2,7,9,19,21
8,20,21,25,38
3,14,25,29,30
10,14,16,24,36
7,14,31,32,38
4,13,29,32,37
3,9,10,12,34
8,12,14,22,28
2,3,11,23,27
9,18,29,31,33
2,7,11,13,31
1,4,14,37,38
11,12,15,21,38
4,10,14,19,20
4,5,6,10,33
3,9,22,33,37
3,15,16,19,31
1,12,19,22,31
17,20,23,25,36
24,27,31,34,37
6,9,18,24,37
5,15,22,35,36
11,13,24,37,39
1,15,24,27,36
9,12,18,25,38
1,9,11,14,30
2,11,13,18,37
9,15,27,28,30
8,13,28,30,36
7,23,28,30,35
1,4,21,25,31
3,4,12,21,22
1,8,9,12,28
5,22,25,27,34
17,23,30,34,39
7,10,32,34,37
4,6,29,36,37
16,17,18,19,21
6,17,23,29,38
1,4,12,33,34
6,15,24,36,37
4,9,13,32,33
2,4,7,12,16
1,3,13,26,27
5,11,27,32,36
2,6,11,13,19
5,14,21,35,39
7,17,19,28,29
1,10,16,35,37
1,16,23,31,39
11,17,27,33,38
4,12,19,20,33
8,15,25,31,38
1,8,12,31,38
1,3,26,31,35
8,11,17,21,38
6,21,28,36,37
8,10,16,24,34
1,2,8,22,33
3,11,20,21,28
5,11,17,31,38
13,16,21,22,26
13,14,18,27,30
9,14,18,23,35
1,20,25,30,39
8,12,21,24,38
7,15,16,19,37
1,3,5,27,31
4,14,27,34,35
5,16,21,25,26
3,22,24,33,36
10,14,25,30,35
4,10,22,32,35
2,11,16,25,38
4,8,16,29,34
4,10,12,26,36
9,11,24,26,28
5,27,32,33,38
24,25,35,36,37
2,13,19,25,29
4,5,14,29,30
4,9,25,28,34
3,29,34,38,39
5,7,12,34,38
2,3,8,18,27
6,11,18,22,26
15,19,26,29,34
2,26,28,32,37
7,9,12,16,21
6,11,18,21,35
17,19,33,34,39
9,11,31,36,39
3,8,16,23,36
8,9,16,21,29
1,6,13,24,36
2,17,22,35,36
3,11,13,14,17
7,10,19,26,34
16,21,26,30,36
4,15,20,35,36
26,28,31,37,39
11,13,29,31,35
6,13,14,25,38
5,8,12,15,24
4,7,26,33,34
3,10,25,28,36
12,23,25,28,34
12,17,19,26,36
16,19,23,33,37
8,29,32,36,38
15,17,21,25,36
2,6,8,15,17
2,19,24,25,38
9,10,20,27,39
7,10,16,20,21
4,11,17,26,36
4,8,10,27,35
5,14,17,34,36
20,22,28,36,37
6,8,25,35,37
6,14,24,37,38
13,14,20,33,35
8,16,22,27,29
4,5,18,30,35
10,15,28,33,36
10,18,19,25,29
4,12,15,17,19
7,9,11,16,39
1,14,23,24,39
10,14,20,24,31
1,12,25,38,39
17,28,34,35,38
2,7,10,11,23
3,27,36,37,39
7,14,28,31,38
3,17,22,23,25
18,21,25,33,35
3,5,14,15,25
24,29,31,32,37
6,12,17,31,35
1,7,20,22,37
10,11,13,22,38
2,8,12,29,36
6,18,21,23,35
1,8,13,21,34
4,7,10,15,39
1,8,10,14,20
9,12,15,23,29
1,6,12,22,24
7,8,23,30,36
2,5,16,21,39
7,14,16,25,27
1,4,5,11,12
3,4,6,11,36
3,8,24,28,35
1,3,7,10,23
9,17,33,35,36
9,19,20,22,26
5,9,13,18,39
9,22,29,30,39
1,18,22,28,36
8,16,20,25,34
9,21,23,24,27
14,17,18,26,33
4,13,18,24,34
3,18,27,31,35
2,3,10,22,31
1,6,17,28,32
11,12,19,28,37
3,14,16,19,22
4,8,20,30,35
13,19,23,27,31
2,4,12,21,22
5,13,19,31,33
5,19,27,35,36
2,4,15,18,33
1,6,7,15,35
3,13,22,27,30
1,4,5,7,9
17,21,22,31,35
1,8,21,28,38
6,10,16,19,30
2,22,27,30,37
4,17,27,33,37
8,18,25,28,36
11,18,20,24,26
7,9,17,27,39
8,11,14,25,29
9,13,16,24,37
14,16,24,26,30
1,3,4,13,18
11,13,21,28,29
5,14,16,18,24
12,13,16,18,25
1,10,25,34,36
16,19,21,22,23
12,13,17,35,37
8,10,18,29,39
13,16,23,27,28
1,9,12,27,28
10,12,16,31,36
1,6,14,18,24
3,14,15,19,34
3,10,11,12,24
6,9,13,21,35
6,9,13,25,29
12,13,20,24,32
3,7,9,18,33
23,27,29,30,35
1,3,4,31,34
2,6,12,13,28
8,20,31,35,38
6,16,18,24,27
1,8,18,25,38
4,5,8,10,29
1,10,15,20,26
6,8,10,12,25
12,14,25,30,34
8,18,29,31,36
17,26,29,36,39
10,30,35,38,39
3,6,8,23,30
6,13,30,31,34
2,8,18,22,29
23,26,31,34,35
3,14,26,29,37
4,9,26,29,31
4,8,12,23,29
4,7,11,12,29
4,6,26,28,39
6,12,18,34,39
1,3,12,28,34
5,6,15,19,25
8,12,14,28,35
4,12,13,14,22
6,8,16,19,31
1,5,15,19,20
6,10,12,33,36
2,16,19,24,27
9,18,29,32,38
8,17,18,25,36
2,3,6,23,38
16,19,23,36,38
11,12,27,30,38
1,7,19,21,31
13,15,18,22,24
3,15,16,28,31
1,13,25,26,27
13,15,17,28,37
22,32,35,38,39
4,17,25,26,34
7,27,30,31,39
5,6,16,31,34
9,12,16,28,37
4,23,24,32,37
5,17,25,35,39
9,22,25,27,31
8,12,18,20,32
14,24,30,32,38
2,17,25,29,37
2,11,16,17,37
7,11,13,17,27
8,11,12,16,30
4,6,27,38,39
5,21,31,33,38
6,8,23,27,33
26,30,32,36,37
1,4,9,24,37
8,16,17,34,35
4,9,25,32,39
1,8,19,21,37
5,9,10,17,19
15,19,22,24,39
11,26,30,38,39
8,15,33,35,39
4,7,14,22,24
2,10,23,30,35
15,18,22,24,30
9,15,25,26,33
10,21,25,37,38
5,11,17,27,32
3,7,22,30,37
5,10,18,20,37
3,12,16,22,38
2,5,17,27,37
5,12,33,36,38
8,19,27,34,37
6,10,24,33,35
6,10,11,32,39
2,5,9,10,32
16,32,36,37,39
7,13,18,25,39
2,21,26,27,35
9,10,16,21,26
6,7,22,23,33
2,13,27,31,38
3,6,21,31,38
9,11,24,37,39
10,16,31,36,39
8,18,20,27,31
6,25,30,34,36
1,5,6,37,38
4,10,11,17,38
13,14,18,26,29
3,5,17,31,36
1,9,17,31,37
4,9,16,32,33
11,17,21,31,33
15,20,33,34,39
4,19,22,29,37
2,7,26,28,32
10,14,21,27,29
1,10,16,21,24
1,5,12,34,36
2,20,21,29,33
3,13,22,32,39
7,10,11,36,39
6,8,22,32,38
10,14,20,28,31
1,3,5,27,29
5,7,26,34,35
14,23,25,26,34
1,7,24,30,32
4,5,26,28,32
3,7,27,29,34
2,4,13,23,36
11,12,25,31,37
4,5,9,27,34
14,20,21,23,25
3,12,15,27,35
5,6,7,8,24
13,25,27,36,38
5,11,14,30,38
8,20,32,34,36
16,27,33,34,36
1,10,24,28,34
10,15,25,31,39
10,14,34,35,38
8,10,16,21,34
14,16,18,20,33
6,7,13,22,29
1,18,24,25,39
1,10,14,27,37
5,12,15,20,21
5,6,7,34,36
8,18,25,27,34
4,8,9,22,37
3,7,13,23,34
1,5,16,20,29
11,18,26,29,37
3,7,8,11,29
1,12,15,23,38
2,13,15,17,29
1,8,9,19,28
8,13,19,22,26
24,29,34,36,37
1,6,21,32,34
2,11,15,18,21
9,12,24,28,39
2,9,20,29,36
1,13,33,36,39
11,25,27,34,37
2,9,23,30,38
6,10,33,34,39
11,13,20,24,30
7,10,13,14,22
5,14,15,20,26
4,12,14,28,39
5,8,21,32,33
2,10,14,17,27
3,11,20,30,36
7,8,12,22,39
13,28,33,34,39
14,26,27,29,35
5,7,8,25,30
2,14,17,21,33
12,16,25,28,30
1,4,18,24,33
1,4,15,19,37
24,25,35,36,38
1,2,9,10,32
4,6,10,19,32
12,14,20,25,37
8,16,19,21,22
1,18,22,29,30
12,15,23,29,38
2,12,20,22,35
13,18,20,23,31
9,26,27,31,39
4,9,15,24,32
2,13,31,34,37
15,18,19,26,32
6,13,33,37,38
10,13,18,37,39
1,7,13,20,26
15,18,20,30,37
3,13,19,21,35
1,3,10,15,30
3,10,11,25,29
3,9,12,30,33
7,16,20,35,38
4,9,10,15,34
8,14,29,32,34
7,10,19,28,29
3,12,15,30,39
1,13,14,30,38
6,23,24,38,39
8,23,27,31,32
17,18,26,28,33
14,23,26,33,37
2,7,9,19,28
4,15,18,27,34
6,14,23,34,38
9,14,15,23,28
6,7,24,25,36
9,11,12,27,36
2,7,19,23,28
5,14,23,29,34
5,11,23,30,32
6,7,9,24,27
1,13,17,26,31
2,4,10,13,37
13,16,33,35,36
11,14,19,30,39
1,17,19,31,34
11,15,22,25,34
6,17,18,20,37
12,16,20,21,34
4,10,23,28,29
10,24,27,36,37
6,8,14,23,31
11,13,31,35,39
6,12,31,33,39
2,16,17,21,31
3,9,18,21,39
5,8,10,17,28
1,9,12,18,20
4,14,23,25,38
3,14,21,23,36
10,24,26,36,39
6,11,17,20,21
1,4,16,25,37
1,12,18,26,32
20,26,32,35,39
4,6,10,25,38
1,3,5,28,39
14,15,19,24,34
4,11,14,17,19
10,12,27,30,39
3,14,19,20,21
1,2,8,13,37
1,2,12,13,30
9,19,21,33,38
9,12,18,26,37
3,4,19,26,29
3,18,26,34,35
8,13,16,23,29
3,5,8,18,34
29,31,32,35,39
24,27,33,38,39
2,4,5,18,22
1,4,8,16,26
3,9,10,18,31
6,10,13,14,38
2,3,11,27,28
6,7,9,11,26
8,10,22,23,36
4,16,22,30,34
1,4,15,29,35
3,28,33,36,39
5,13,19,33,38
10,15,16,26,37
1,3,5,9,25
1,5,10,31,36
15,22,27,30,38
3,9,29,36,39
11,23,26,33,35
3,6,7,33,37
4,16,17,18,19
5,12,24,27,37
4,5,26,37,39
3,4,17,25,35
3,19,23,27,31
2,12,30,35,36
6,19,25,37,39
17,31,33,34,35
13,17,36,37,38
1,14,19,27,37
1,21,24,27,38
1,2,6,13,18
12,20,21,25,30
2,17,22,30,36
8,16,19,21,37
24,26,28,37,39
2,25,28,32,34
3,8,13,17,37
9,15,27,37,38
4,11,16,20,22
2,5,22,32,35
15,17,28,35,38
9,11,14,30,35
4,12,20,22,34
4,9,15,18,29
22,23,31,33,36
11,12,16,22,29
1,7,11,14,29
4,20,23,32,38
3,6,7,11,22
3,5,11,16,23
7,8,19,20,31
2,5,13,25,33
5,10,22,32,38
5,6,7,20,22
6,8,13,35,36
6,7,14,30,35
8,14,16,32,38
10,11,14,26,32
2,16,17,26,33
19,21,26,31,37
3,4,5,9,10
6,11,24,32,37
13,17,21,25,28
2,19,29,30,39
11,18,23,27,37
10,21,33,35,38
18,20,28,30,37
9,14,22,27,39
4,11,17,20,32
3,9,27,30,33
21,22,25,30,37
1,5,21,32,37
11,27,28,29,37
10,11,14,21,33
1,16,33,37,39
7,22,35,38,39
9,17,19,23,27
3,6,15,19,24
15,23,34,36,37
1,3,12,23,31
14,20,27,33,38
1,3,10,11,35
2,5,9,27,29
10,17,32,38,39
10,27,31,32,33
2,3,13,17,35
15,20,28,36,37
3,15,17,25,36
8,16,18,19,35
4,12,29,33,36
1,14,32,34,36
6,9,12,22,31
1,8,9,30,35
1,3,18,22,28
3,11,21,23,36
6,10,21,32,38
10,17,19,29,37
10,22,26,32,33
14,20,21,23,34
12,15,16,23,28
6,13,16,32,39
6,11,15,28,31
20,25,31,35,38
6,20,22,36,37
3,18,19,21,22
6,8,22,29,38
23,24,28,30,31
4,16,27,30,37
2,4,15,17,30
7,11,16,34,36
12,18,31,38,39
5,9,17,24,25
21,26,29,30,34
1,3,4,35,37
3,5,12,15,33
1,3,15,18,35
2,7,10,15,33
23,25,29,31,32
11,27,30,31,38
7,14,28,29,38
7,15,22,26,37
5,12,13,21,36
17,19,29,36,37
1,3,5,19,38
26,34,36,37,39
9,19,23,36,38
2,6,20,23,36
8,11,15,20,36
5,10,27,37,38
2,8,16,18,36
12,21,23,38,39
8,12,22,35,36
18,19,22,26,28
7,8,9,14,34
2,6,16,27,39
11,16,18,19,25
10,16,26,38,39
5,24,29,34,35
1,2,4,13,27
7,11,12,24,38
7,17,27,28,33
4,11,20,34,36
5,7,30,35,38
10,21,23,27,30
1,10,16,26,29
11,12,18,23,24
2,12,15,24,35
5,9,14,20,33
4,10,12,23,26
1,3,6,21,27
8,14,22,27,35
1,13,31,34,35
4,7,15,22,30
3,9,21,27,36
12,21,24,25,39
2,3,21,26,30
13,15,18,19,33
1,3,10,14,31
1,2,9,19,31
3,9,10,13,17
6,17,21,26,28
15,28,35,36,39
6,13,15,25,28
2,10,21,22,38
3,12,20,34,35
6,14,20,28,35
17,18,32,35,37
3,6,10,17,28
16,20,21,22,25
10,14,25,31,36
9,15,22,34,36
4,10,12,21,27
3,7,12,17,37
9,24,32,36,39
3,6,13,28,35
5,6,11,16,37
2,7,13,18,28
12,28,31,35,39
4,9,18,25,39
12,13,16,26,37
5,6,11,31,35
1,12,31,38,39
1,7,11,15,29
4,14,33,36,37
7,11,18,20,22
4,6,14,26,33
9,10,21,33,35
14,19,27,30,38
5,10,11,32,37
3,5,28,32,34
1,3,16,24,31
11,13,15,23,29
14,23,26,27,34
5,16,22,26,39
1,15,32,34,38
5,13,14,17,24
16,23,29,36,39
1,7,9,20,32
2,9,32,36,37
8,12,13,23,36
4,20,24,28,38
6,10,21,24,31
7,11,17,23,25
3,4,6,14,20
3,11,20,21,36
1,4,27,34,35
11,19,24,31,32
18,19,30,33,38
3,13,26,32,34
14,19,20,29,32
3,12,17,30,38
1,2,17,20,37
5,8,35,36,37
2,8,26,32,34
2,9,15,29,38
2,10,11,14,22
12,13,16,20,32
10,12,15,16,23
1,21,22,25,27
3,13,17,32,39
25,26,32,36,37
2,21,37,38,39
15,18,27,28,31
12,16,25,27,39
2,17,26,33,35
8,11,17,19,23
3,15,16,20,22
4,20,25,33,34
9,12,15,26,33
17,18,23,24,28
4,21,24,33,35
11,17,20,22,29
2,13,31,33,36
1,9,14,31,33
1,2,13,23,37
8,17,18,19,36
16,21,23,29,30
1,19,22,25,37
7,24,26,34,36
8,10,26,28,37
5,17,24,33,34
14,19,24,30,36
1,11,27,29,31
6,20,26,30,34
7,11,12,37,38
2,3,21,23,34
1,9,17,18,39
11,12,18,20,36
1,11,15,18,37
1,12,14,24,30
2,4,16,29,38
12,18,36,37,38
